Country,Capital,Population
Tonga,Nukuʻalofa,22400
Faroe Islands(Denmark),Tórshavn,18573
Guernsey (UK),St. Peter Port,16701
Belize,Belmopan,16451
Greenland(Denmark),Nuuk (Godthåb),15469
Dominica,Roseau,14847
Saint Kitts and Nevis,Basseterre,13043
Åland (Finland),Mariehamn,11296
United States Virgin Islands (US),Charlotte Amalie,10817
Federated States of Micronesia,Palikir,9900
British Virgin Islands(UK),Road Town,9400
Grenada,St. George's,7500
Malta,Valletta,6444
Saint Barthélemy(France),Gustavia,6000
Collectivity of Saint Martin (France),Marigot,5700
Saint Pierre and Miquelon (France),Saint-Pierre,5509
Cook Islands (NZ),Avarua,5445
Liechtenstein,Vaduz,5248
San Marino,City of San Marino,4493
Tuvalu,Funafuti,4492
Turks and Caicos Islands (UK),Cockburn Town,3700
Falkland Islands(UK),Stanley,2115
Svalbard (Norway),Longyearbyen,2075
Christmas Island(Australia),Flying Fish Cove,1493
Sint Maarten(Netherlands),Philipsburg,1338
Wallis and Futuna(France),Mata-Utu,1191
Anguilla (UK),The Valley,1169
Nauru,Yaren (de facto),1100
Guam (US),Hagåtña,1100
Montserrat (UK),Brades (de facto),391
Bermuda (UK),Hamilton,1010
Norfolk Island(Australia),Kingston,880
Vatican City,Vatican City (city-state),826
Saint Helena (UK),Jamestown,714
Niue (NZ),Alofi,616
Tokelau (NZ),Atafu,524
Palau,Ngerulmud,391
Cocos (Keeling) Islands (Australia),West Island,120
Pitcairn Islands (UK),Adamstown,56
South Georgia and the South Sandwich Islands (UK),King Edward Point,18
